fecha,zona_prov,letra,w_mean,Año,Valor_USD_Blue_Julio,Salario_USD
2013-01-01,SAN LUIS,L,7935,2013,8.0,991.875
2013-01-01,SAN LUIS,M,4229,2013,8.0,528.625
2013-01-01,SAN LUIS,N,5352,2013,8.0,669.0
2013-01-01,SAN LUIS,O,5998,2013,8.0,749.75
2013-01-01,SAN LUIS,P,5870,2013,8.0,733.75
2013-01-01,SAN LUIS,Q,5661,2013,8.0,707.625
2013-01-01,SAN LUIS,R,6226,2013,8.0,778.25
2013-01-01,SAN LUIS,S,5617,2013,8.0,702.125
2013-01-01,SANTA CRUZ,A,9005,2013,8.0,1125.625
2013-01-01,SANTA CRUZ,B,27546,2013,8.0,3443.25
2013-01-01,SANTA CRUZ,C,12923,2013,8.0,1615.375
2013-01-01,SANTA CRUZ,D,23524,2013,8.0,2940.5
2013-01-01,SANTA CRUZ,E,14552,2013,8.0,1819.0
2013-01-01,SANTA CRUZ,F,14244,2013,8.0,1780.5
2013-01-01,SANTA CRUZ,G,8473,2013,8.0,1059.125
2013-01-01,SANTA CRUZ,H,14349,2013,8.0,1793.625
2013-01-01,SANTA CRUZ,I,7072,2013,8.0,884.0
2013-01-01,SANTA CRUZ,J,11218,2013,8.0,1402.25
2013-01-01,SANTA CRUZ,K,15132,2013,8.0,1891.5
2013-01-01,SANTA CRUZ,L,10344,2013,8.0,1293.0
2013-01-01,SANTA CRUZ,M,10324,2013,8.0,1290.5
2013-01-01,SANTA CRUZ,N,8243,2013,8.0,1030.375
2013-01-01,SANTA CRUZ,O,14148,2013,8.0,1768.5
2013-01-01,SANTA CRUZ,P,8125,2013,8.0,1015.625
2013-01-01,SANTA CRUZ,Q,9118,2013,8.0,1139.75
2013-01-01,SANTA CRUZ,R,9027,2013,8.0,1128.375
2013-01-01,SANTA CRUZ,S,7654,2013,8.0,956.75
2013-01-01,SANTA CRUZ,Z,7955,2013,8.0,994.375
2013-01-01,SANTA FE,A,5030,2013,8.0,628.75
2013-01-01,SANTA FE,B,13885,2013,8.0,1735.625
2013-01-01,SANTA FE,C,9203,2013,8.0,1150.375
2013-01-01,SANTA FE,D,15752,2013,8.0,1969.0
2013-01-01,SANTA FE,E,10545,2013,8.0,1318.125
2013-01-01,SANTA FE,F,4399,2013,8.0,549.875
2013-01-01,SANTA FE,G,6566,2013,8.0,820.75
