fecha,zona_prov,letra,w_mean
2013-02-01,CAPITAL FEDERAL,K,16073
2013-02-01,CAPITAL FEDERAL,L,6580
2013-02-01,CAPITAL FEDERAL,M,9089
2013-02-01,CAPITAL FEDERAL,N,6067
2013-02-01,CAPITAL FEDERAL,O,11451
2013-02-01,CAPITAL FEDERAL,P,5346
2013-02-01,CAPITAL FEDERAL,Q,9736
2013-02-01,CAPITAL FEDERAL,R,7937
2013-02-01,CAPITAL FEDERAL,S,7244
2013-02-01,CAPITAL FEDERAL,Z,12599
2013-02-01,CATAMARCA,A,3401
2013-02-01,CATAMARCA,B,18151
2013-02-01,CATAMARCA,C,6473
2013-02-01,CATAMARCA,D,16796
2013-02-01,CATAMARCA,E,6480
2013-02-01,CATAMARCA,F,4094
2013-02-01,CATAMARCA,G,5411
2013-02-01,CATAMARCA,H,7396
2013-02-01,CATAMARCA,I,4658
2013-02-01,CATAMARCA,J,6612
2013-02-01,CATAMARCA,K,8553
2013-02-01,CATAMARCA,L,4705
2013-02-01,CATAMARCA,M,5495
2013-02-01,CATAMARCA,N,4615
2013-02-01,CATAMARCA,O,5732
2013-02-01,CATAMARCA,P,6026
2013-02-01,CATAMARCA,Q,4756
2013-02-01,CATAMARCA,R,3087
2013-02-01,CATAMARCA,S,4830
2013-02-01,CHACO,A,4036
2013-02-01,CHACO,B,9746
2013-02-01,CHACO,C,6107
2013-02-01,CHACO,D,12863
2013-02-01,CHACO,E,8062
2013-02-01,CHACO,F,4468
2013-02-01,CHACO,G,5771
2013-02-01,CHACO,H,7949
2013-02-01,CHACO,I,4410
2013-02-01,CHACO,J,9500
2013-02-01,CHACO,K,16051
2013-02-01,CHACO,L,5620
2013-02-01,CHACO,M,6070
2013-02-01,CHACO,N,4813
2013-02-01,CHACO,O,6469
2013-02-01,CHACO,P,4318
2013-02-01,CHACO,Q,6122
2013-02-01,CHACO,R,6310
2013-02-01,CHACO,S,5533
2013-02-01,CHACO,Z,3237
2013-02-01,CHUBUT,A,7356
2013-02-01,CHUBUT,B,27996
2013-02-01,CHUBUT,C,11020
2013-02-01,CHUBUT,D,21625
2013-02-01,CHUBUT,E,8312
2013-02-01,CHUBUT,F,9364
2013-02-01,CHUBUT,G,8351
2013-02-01,CHUBUT,H,10891
2013-02-01,CHUBUT,I,6250
2013-02-01,CHUBUT,J,10486
2013-02-01,CHUBUT,K,15544
2013-02-01,CHUBUT,L,5908
2013-02-01,CHUBUT,M,7968
2013-02-01,CHUBUT,N,9028
2013-02-01,CHUBUT,O,9079
2013-02-01,CHUBUT,P,8297
2013-02-01,CHUBUT,Q,7727
2013-02-01,CHUBUT,R,8664
2013-02-01,CHUBUT,S,6789
2013-02-01,CHUBUT,Z,4283
2013-02-01,CORDOBA,A,4916
2013-02-01,CORDOBA,B,7257
2013-02-01,CORDOBA,C,8608
2013-02-01,CORDOBA,D,15475
2013-02-01,CORDOBA,E,11160
2013-02-01,CORDOBA,F,4209
2013-02-01,CORDOBA,G,6116
2013-02-01,CORDOBA,H,7956
2013-02-01,CORDOBA,I,3794
2013-02-01,CORDOBA,J,9656
2013-02-01,CORDOBA,K,12596
2013-02-01,CORDOBA,L,5147
2013-02-01,CORDOBA,M,5592
2013-02-01,CORDOBA,N,5202
2013-02-01,CORDOBA,O,7645
2013-02-01,CORDOBA,P,5847
2013-02-01,CORDOBA,Q,6145
2013-02-01,CORDOBA,R,6524
2013-02-01,CORDOBA,S,6316
